index,label,cluster,is_critical
1167,PTA1,2,0
1168,PTC1,2,0
1169,PTC2,2,0
1170,PTC3,2,0
1171,PTC4,2,0
1172,PTH2,2,0
1173,PTI1,1,1
1174,PTP2,2,0
1175,PTP3,2,0
1176,PUB1,2,0
1177,PUF3,1,1
1178,PUF6,2,0
1179,PUP1,2,0
1180,PUP2,2,0
1181,PUP3,2,0
1182,PWP1,2,0
1183,PWP2,2,0
1184,PXR1,2,0
1185,QCR2,2,0
1186,QCR8,2,0
1187,RAD1,2,0
1188,RAD10,2,0
1189,RAD14,2,0
1190,RAD16,1,1
1191,RAD17,2,0
1192,RAD18,1,1
1193,RAD2,2,0
1194,RAD23,1,1
1195,RAD24,2,0
1196,RAD27,1,1
1197,RAD3,2,0
1198,RAD30,2,0
1199,RAD4,2,0
1200,RAD5,2,0
1201,RAD50,2,0
1202,RAD51,2,0
1203,RAD52,2,0
1204,RAD53,1,1
1205,RAD54,2,0
1206,RAD55,2,0
1207,RAD57,2,0
1208,RAD59,2,0
1209,RAD6,2,0
1210,RAD61,1,1
1211,RAD7,2,0
1212,RAD9,2,0
1213,RAP1,2,0
1214,RAS2,2,0
1215,RAV1,2,0
1216,RAV2,2,0
1217,RBL2,2,0
1218,RCF1,2,0
1219,RCF2,2,0
1220,RCK2,2,0
1221,RCL1,2,0
1222,RCN1,2,0
1223,RCO1,2,0
1224,RCR1,2,0
1225,RCY1,2,0
1226,RDH54,2,0
1227,RDI1,2,0
1228,REC102,2,0
1229,REC104,2,0
1230,REC107,2,0
1231,REC8,2,0
1232,RED1,2,0
1233,REF2,2,0
1234,REG1,2,0
1235,REG2,2,0
1236,REI1,2,0
1237,RET1,2,0
1238,RET2,2,0
1239,RET3,1,1
1240,REV1,2,0
1241,REV3,2,0
1242,REV7,2,0
1243,RFA1,2,0
1244,RFA2,2,0
1245,RFA3,2,0
1246,RFC1,2,0
1247,RFC2,2,0
1248,RFC3,2,0
1249,RFC4,2,0
1250,RFC5,2,0
1251,RFU1,2,0
